outlier_no,subset_size,subset,node,data type,index_first_element,index_last_element,outlier_score,acceptable_deviation,value_to_check,min_value,max_value
35,7,"[129.0, 129.0, 133.0, 133.0, 133.0, 133.0, 139.0]",13,CURRENT_icmp_recv,108,114,1.1226827987756247,6.531972647421808,139.0,125.13469401924485,138.19863931408847
36,7,"[143.0, 143.0, 146.0, 146.0, 146.0, 146.0, 152.0]",13,CURRENT_icmp_recv,121,127,1.4288690166235205,4.898979485566357,152.0,140.10102051443366,149.89897948556634
37,7,"[161.0, 161.0, 165.0, 165.0, 165.0, 165.0, 171.0]",13,CURRENT_icmp_recv,139,145,1.1226827987756247,6.531972647421808,171.0,157.13469401924485,170.19863931408847
38,7,"[33.0, 37.0, 37.0, 37.0, 37.0, 37.0, 44.0]",13,CURRENT_icmp_sent,9,15,1.484643616046176,5.163977794943222,44.0,31.169355538390114,41.49731112827656
39,7,"[44.0, 44.0, 48.0, 48.0, 48.0, 48.0, 54.0]",13,CURRENT_icmp_sent,17,23,1.1226827987756236,6.531972647421808,54.0,40.134694019244854,53.198639314088474
40,7,"[54.0, 54.0, 58.0, 58.0, 58.0, 58.0, 64.0]",13,CURRENT_icmp_sent,26,32,1.1226827987756236,6.531972647421808,64.0,50.134694019244854,63.198639314088474
41,7,"[79.0, 82.0, 82.0, 82.0, 82.0, 82.0, 86.0]",13,CURRENT_icmp_sent,48,54,1.161895003862225,3.8729833462074166,86.0,77.62701665379258,85.37298334620742
42,7,"[82.0, 82.0, 86.0, 86.0, 86.0, 86.0, 93.0]",13,CURRENT_icmp_sent,52,58,1.2757759076995712,6.531972647421808,93.0,78.13469401924486,91.19863931408848
43,7,"[93.0, 97.0, 97.0, 97.0, 97.0, 97.0, 103.0]",13,CURRENT_icmp_sent,61,67,1.2909944487358065,5.163977794943222,103.0,91.1693555383901,101.49731112827655
44,7,"[103.0, 103.0, 106.0, 106.0, 106.0, 106.0, 111.0]",13,CURRENT_icmp_sent,69,75,1.224744871391589,4.898979485566357,111.0,100.10102051443364,109.89897948556636
45,7,"[111.0, 111.0, 114.0, 114.0, 114.0, 114.0, 121.0]",13,CURRENT_icmp_sent,78,84,1.6329931618554518,4.898979485566357,121.0,108.10102051443364,117.89897948556636
46,7,"[133.0, 133.0, 137.0, 137.0, 137.0, 137.0, 143.0]",13,CURRENT_icmp_sent,95,101,1.1226827987756247,6.531972647421808,143.0,129.13469401924485,142.19863931408847
47,7,"[148.0, 148.0, 151.0, 151.0, 151.0, 151.0, 159.0]",13,CURRENT_icmp_sent,108,114,1.8371173070873834,4.898979485566357,159.0,145.10102051443366,154.89897948556634
48,7,"[159.0, 159.0, 162.0, 162.0, 162.0, 162.0, 167.0]",13,CURRENT_icmp_sent,117,123,1.224744871391589,4.898979485566357,167.0,156.10102051443366,165.89897948556634
49,7,"[177.0, 180.0, 180.0, 180.0, 180.0, 180.0, 184.0]",13,CURRENT_icmp_sent,135,141,1.161895003862225,3.8729833462074166,184.0,175.6270166537926,183.3729833462074
50,7,"[180.0, 180.0, 184.0, 184.0, 184.0, 184.0, 191.0]",13,CURRENT_icmp_sent,139,145,1.2757759076995734,6.531972647421808,191.0,176.13469401924485,189.19863931408847
51,7,"[22.0, 22.0, 25.0, 25.0, 25.0, 25.0, 31.0]",2,CURRENT_icmp_recv,9,15,1.4288690166235205,4.898979485566357,31.0,19.101020514433642,28.898979485566358
52,7,"[35.0, 38.0, 38.0, 38.0, 38.0, 38.0, 43.0]",2,CURRENT_icmp_recv,22,28,1.4200938936093863,3.8729833462074166,43.0,33.62701665379258,41.37298334620742
53,7,"[51.0, 51.0, 54.0, 54.0, 54.0, 54.0, 58.0]",2,CURRENT_icmp_recv,39,45,1.0206207261596574,4.898979485566357,58.0,48.10102051443364,57.89897948556636
54,7,"[58.0, 58.0, 61.0, 61.0, 61.0, 61.0, 67.0]",2,CURRENT_icmp_recv,48,54,1.4288690166235205,4.898979485566357,67.0,55.10102051443364,64.89897948556636
55,7,"[81.0, 81.0, 83.0, 83.0, 83.0, 83.0, 86.0]",2,CURRENT_icmp_recv,74,80,1.1226827987756247,3.265986323710904,86.0,79.06734700962242,85.59931965704423
56,7,"[83.0, 83.0, 86.0, 86.0, 86.0, 86.0, 91.0]",2,CURRENT_icmp_recv,78,84,1.224744871391589,4.898979485566357,91.0,80.10102051443364,89.89897948556636
57,7,"[96.0, 96.0, 99.0, 99.0, 99.0, 99.0, 104.0]",2,CURRENT_icmp_recv,91,97,1.224744871391589,4.898979485566357,104.0,93.10102051443364,102.89897948556636
58,7,"[111.0, 114.0, 114.0, 114.0, 114.0, 114.0, 120.0]",2,CURRENT_icmp_recv,109,115,1.6782927833565475,3.8729833462074166,120.0,109.62701665379258,117.37298334620742
59,7,"[124.0, 127.0, 127.0, 127.0, 127.0, 127.0, 132.0]",2,CURRENT_icmp_recv,122,128,1.4200938936093863,3.8729833462074166,132.0,122.62701665379258,130.3729833462074
60,7,"[138.0, 138.0, 141.0, 141.0, 141.0, 141.0, 145.0]",2,CURRENT_icmp_recv,139,145,1.0206207261596574,4.898979485566357,145.0,135.10102051443366,144.89897948556634
61,7,"[47.0, 55.0, 55.0, 55.0, 55.0, 55.0, 72.0]",3,CURRENT_icmp_recv,7,13,1.775117367011733,10.327955589886445,72.0,43.33871107678022,63.99462225655311
62,7,"[83.0, 92.0, 92.0, 92.0, 92.0, 92.0, 104.0]",3,CURRENT_icmp_recv,20,26,1.1618950038622249,11.618950038622252,104.0,78.88104996137776,102.11895003862224
63,7,"[158.0, 158.0, 166.0, 166.0, 166.0, 166.0, 178.0]",3,CURRENT_icmp_recv,50,56,1.1226827987756225,13.063945294843617,178.0,150.26938803848972,176.39727862817696
64,7,"[188.0, 188.0, 198.0, 198.0, 198.0, 198.0, 211.0]",3,CURRENT_icmp_recv,63,69,1.0002083116364648,16.32993161855452,211.0,178.33673504811213,210.99659828522118
65,7,"[211.0, 217.0, 217.0, 217.0, 217.0, 217.0, 229.0]",3,CURRENT_icmp_recv,72,78,1.6782927833565475,7.745966692414833,229.0,208.25403330758516,223.74596669241484
66,7,"[238.0, 247.0, 247.0, 247.0, 247.0, 247.0, 259.0]",3,CURRENT_icmp_recv,85,91,1.1618950038622249,11.618950038622252,259.0,233.88104996137776,257.11895003862224
67,7,"[272.0, 281.0, 281.0, 281.0, 281.0, 281.0, 293.0]",3,CURRENT_icmp_recv,98,104,1.1618950038622249,11.618950038622252,293.0,267.88104996137776,291.11895003862224
68,7,"[293.0, 293.0, 299.0, 299.0, 299.0, 299.0, 310.0]",3,CURRENT_icmp_recv,106,112,1.3268069440075547,9.797958971132713,310.0,287.2020410288673,306.7979589711327
69,7,"[332.0, 340.0, 340.0, 340.0, 340.0, 340.0, 350.0]",3,CURRENT_icmp_recv,124,130,1.097345281425433,10.327955589886445,350.0,328.3387110767802,348.99462225655316
70,7,"[362.0, 370.0, 370.0, 370.0, 370.0, 370.0, 380.0]",3,CURRENT_icmp_recv,137,143,1.097345281425433,10.327955589886445,380.0,358.3387110767802,378.99462225655316
71,7,"[72.0, 87.0, 87.0, 87.0, 87.0, 87.0, 105.0]",3,CURRENT_icmp_sent,7,13,1.0586154479633607,19.364916731037084,105.0,65.13508326896292,103.86491673103708
72,7,"[119.0, 127.0, 127.0, 127.0, 127.0, 127.0, 139.0]",3,CURRENT_icmp_sent,20,26,1.2909944487358052,10.327955589886445,139.0,115.33871107678023,135.99462225655313
73,7,"[165.0, 165.0, 174.0, 174.0, 174.0, 174.0, 188.0]",3,CURRENT_icmp_sent,37,43,1.1567034896476116,14.69693845669907,188.0,156.30306154330094,185.69693845669906
74,7,"[198.0, 198.0, 205.0, 205.0, 205.0, 205.0, 218.0]",3,CURRENT_icmp_sent,50,56,1.3413872400955509,11.430952132988164,218.0,191.2357145336785,214.0976187996548
75,7,"[251.0, 260.0, 260.0, 260.0, 260.0, 260.0, 271.0]",3,CURRENT_icmp_sent,72,78,1.0758287072798378,11.618950038622252,271.0,246.88104996137776,270.11895003862224
76,7,"[271.0, 271.0, 279.0, 279.0, 279.0, 279.0, 290.0]",3,CURRENT_icmp_sent,80,86,1.0461362443136504,13.063945294843617,290.0,263.2693880384897,289.39727862817693
77,7,"[279.0, 290.0, 290.0, 290.0, 290.0, 290.0, 303.0]",3,CURRENT_icmp_sent,85,91,1.0445318721589685,14.200938936093864,303.0,273.96572773057284,302.36760560276053
78,7,"[314.0, 324.0, 324.0, 324.0, 324.0, 324.0, 338.0]",3,CURRENT_icmp_sent,98,104,1.2135347818116586,12.909944487358057,338.0,309.42338884597524,335.2432778206914
79,7,"[338.0, 338.0, 344.0, 344.0, 344.0, 344.0, 356.0]",3,CURRENT_icmp_sent,106,112,1.4288690166235205,9.797958971132713,356.0,332.2020410288673,351.7979589711327
80,7,"[344.0, 356.0, 356.0, 356.0, 356.0, 356.0, 370.0]",3,CURRENT_icmp_sent,111,117,1.0327955589886446,15.491933384829666,370.0,338.5080666151703,369.4919333848297
81,7,"[381.0, 388.0, 388.0, 388.0, 388.0, 388.0, 398.0]",3,CURRENT_icmp_sent,124,130,1.2356661152185586,9.036961141150641,398.0,377.7963721921827,395.87029447448396
