subset_size,node,data type,index_first_element,index_last_element,total_panics,subset
7,3,CURRENT_icmp_recv,7,13,18,"[47.0, 55.0, 55.0, 55.0, 55.0, 55.0, 72.0]"
7,3,CURRENT_icmp_sent,7,13,18,"[72.0, 87.0, 87.0, 87.0, 87.0, 87.0, 105.0]"
7,3,CURRENT_icmp_recv,72,78,18,"[211.0, 217.0, 217.0, 217.0, 217.0, 217.0, 229.0]"
7,3,CURRENT_icmp_sent,72,78,18,"[251.0, 260.0, 260.0, 260.0, 260.0, 260.0, 271.0]"
7,3,CURRENT_icmp_recv,85,91,18,"[238.0, 247.0, 247.0, 247.0, 247.0, 247.0, 259.0]"
7,3,CURRENT_icmp_sent,85,91,18,"[279.0, 290.0, 290.0, 290.0, 290.0, 290.0, 303.0]"
7,3,CURRENT_icmp_recv,98,104,18,"[272.0, 281.0, 281.0, 281.0, 281.0, 281.0, 293.0]"
7,3,CURRENT_icmp_sent,98,104,18,"[314.0, 324.0, 324.0, 324.0, 324.0, 324.0, 338.0]"
7,4,CURRENT_icmp_recv,122,128,10,"[115.0, 115.0, 117.0, 117.0, 117.0, 117.0, 121.0]"
7,4,CURRENT_icmp_sent,122,128,10,"[158.0, 158.0, 161.0, 161.0, 161.0, 161.0, 165.0]"
7,4,CURRENT_icmp_recv,135,141,10,"[126.0, 126.0, 129.0, 129.0, 129.0, 129.0, 134.0]"
7,4,CURRENT_icmp_sent,135,141,10,"[170.0, 170.0, 172.0, 172.0, 172.0, 172.0, 183.0]"
7,4,CURRENT_icmp_recv,31,37,10,"[41.0, 41.0, 44.0, 44.0, 44.0, 44.0, 48.0]"
7,4,CURRENT_icmp_sent,31,37,10,"[71.0, 71.0, 73.0, 73.0, 73.0, 73.0, 77.0]"
7,4,CURRENT_icmp_recv,61,67,10,"[66.0, 66.0, 69.0, 69.0, 69.0, 69.0, 73.0]"
7,4,CURRENT_icmp_sent,61,67,10,"[100.0, 100.0, 102.0, 102.0, 102.0, 102.0, 107.0]"
7,4,CURRENT_icmp_recv,96,102,10,"[94.0, 94.0, 97.0, 97.0, 97.0, 97.0, 102.0]"
7,4,CURRENT_icmp_sent,96,102,10,"[131.0, 131.0, 134.0, 134.0, 134.0, 134.0, 141.0]"
7,5,CURRENT_icmp_recv,107,113,12,"[242.0, 248.0, 248.0, 248.0, 248.0, 248.0, 258.0]"
7,5,CURRENT_icmp_sent,107,113,12,"[231.0, 236.0, 236.0, 236.0, 236.0, 236.0, 242.0]"
7,5,CURRENT_icmp_recv,128,134,12,"[285.0, 285.0, 292.0, 292.0, 292.0, 292.0, 303.0]"
7,5,CURRENT_icmp_sent,128,134,12,"[264.0, 264.0, 270.0, 270.0, 270.0, 270.0, 279.0]"
7,5,CURRENT_icmp_recv,20,26,12,"[69.0, 74.0, 74.0, 74.0, 74.0, 74.0, 83.0]"
7,5,CURRENT_icmp_sent,20,26,12,"[94.0, 97.0, 97.0, 97.0, 97.0, 97.0, 104.0]"
7,5,CURRENT_icmp_recv,37,43,12,"[104.0, 104.0, 110.0, 110.0, 110.0, 110.0, 121.0]"
7,5,CURRENT_icmp_sent,37,43,12,"[120.0, 120.0, 125.0, 125.0, 125.0, 125.0, 132.0]"
7,5,CURRENT_icmp_recv,7,13,12,"[38.0, 38.0, 44.0, 44.0, 44.0, 44.0, 60.0]"
7,5,CURRENT_icmp_sent,7,13,12,"[62.0, 62.0, 71.0, 71.0, 71.0, 71.0, 85.0]"
7,5,CURRENT_icmp_recv,98,104,12,"[225.0, 225.0, 232.0, 232.0, 232.0, 232.0, 242.0]"
7,5,CURRENT_icmp_sent,98,104,12,"[216.0, 216.0, 222.0, 222.0, 222.0, 222.0, 231.0]"
7,6,CURRENT_icmp_recv,57,63,4,"[78.0, 83.0, 83.0, 83.0, 83.0, 83.0, 90.0]"
7,6,CURRENT_icmp_sent,57,63,4,"[88.0, 92.0, 92.0, 92.0, 92.0, 92.0, 97.0]"
7,6,CURRENT_icmp_recv,96,102,4,"[128.0, 133.0, 133.0, 133.0, 133.0, 133.0, 140.0]"
7,6,CURRENT_icmp_sent,96,102,4,"[125.0, 129.0, 129.0, 129.0, 129.0, 129.0, 134.0]"
7,7,CURRENT_icmp_recv,25,31,2,"[44.0, 44.0, 49.0, 49.0, 49.0, 49.0, 56.0]"
7,7,CURRENT_icmp_sent,25,31,2,"[58.0, 58.0, 60.0, 60.0, 60.0, 60.0, 63.0]"
7,8,CURRENT_icmp_recv,109,115,10,"[117.0, 117.0, 120.0, 120.0, 120.0, 120.0, 125.0]"
7,8,CURRENT_icmp_sent,109,115,10,"[130.0, 130.0, 133.0, 133.0, 133.0, 133.0, 137.0]"
7,8,CURRENT_icmp_recv,118,124,10,"[125.0, 125.0, 128.0, 128.0, 128.0, 128.0, 132.0]"
